Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh),timestamp
51,0.00,0.02,0.00,0.00,13.22,0.00,0.00,13.22,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  21:22:0
52,0.00,0.06,0.00,0.00,13.21,0.00,0.00,13.21,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  21:33:0
53,0.00,0.00,0.00,0.00,13.21,0.00,0.00,13.21,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  21:44:0
54,0.00,0.13,0.00,0.00,13.21,0.00,0.00,13.21,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  21:55:0
55,0.00,0.15,0.00,0.00,13.21,0.00,0.00,13.21,25.00,78,14.88,12.89,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  22:6:0
56,0.00,0.07,0.00,0.02,13.20,0.26,0.00,13.20,25.00,77,13.22,13.19,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  22:18:0
57,0.00,0.17,0.00,0.01,13.20,0.13,0.00,13.20,25.00,77,13.22,13.19,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  22:29:0
58,0.00,0.11,0.00,0.00,13.20,0.00,0.00,13.20,25.00,77,13.22,13.19,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  22:40:0
59,0.00,0.13,0.00,0.00,13.20,0.00,0.00,13.20,25.00,77,13.22,13.19,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  22:51:0
60,0.00,0.04,0.00,0.00,13.20,0.00,0.00,13.20,25.00,77,13.22,13.18,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  23:2:0
61,0.00,0.00,0.00,0.00,13.20,0.00,0.00,13.20,25.00,77,13.22,13.18,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  23:13:0
62,0.00,0.02,0.00,0.01,13.19,0.13,0.00,13.19,25.00,77,13.22,13.18,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  23:24:0
63,0.00,0.01,0.00,0.01,13.19,0.13,0.00,13.19,25.00,77,13.22,13.18,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  23:35:0
64,0.00,0.02,0.00,0.01,13.19,0.13,0.00,13.19,25.00,77,13.22,13.18,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  23:46:0
65,0.00,0.02,0.00,0.00,13.19,0.00,0.00,13.19,25.00,77,13.22,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  23:57:0
66,0.00,0.04,0.00,0.00,13.19,0.00,0.00,13.19,25.00,77,13.22,13.17,CutOut,NotCharging,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  0:8:0
